Core: hps_sdram_p0 - Instance: u0|hps|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.55,0.523
"Bus Turnaround Time (Slow 1100mV 85C Model)",2.108,--
"Core (Slow 1100mV 85C Model)",1.73,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",3.375,1.063
"DQS vs CK (Slow 1100mV 85C Model)",0.265,0.121
"Postamble (Slow 1100mV 85C Model)",0.422,0.422
"Read Capture (Slow 1100mV 85C Model)",0.182,0.135
"Write (Slow 1100mV 85C Model)",0.208,0.208
"Address Command (Slow 1100mV 0C Model)",0.542,0.517
"Bus Turnaround Time (Slow 1100mV 0C Model)",2.135,--
"Core (Slow 1100mV 0C Model)",1.727,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",3.468,1.012
"DQS vs CK (Slow 1100mV 0C Model)",0.271,0.16
"Postamble (Slow 1100mV 0C Model)",0.408,0.408
"Read Capture (Slow 1100mV 0C Model)",0.198,0.151
"Write (Slow 1100mV 0C Model)",0.22,0.22
"Address Command (Fast 1100mV 85C Model)",0.592,0.56
"Bus Turnaround Time (Fast 1100mV 85C Model)",2.244,--
"Core (Fast 1100mV 85C Model)",2.11,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",3.727,0.984
"DQS vs CK (Fast 1100mV 85C Model)",0.328,0.257
"Postamble (Fast 1100mV 85C Model)",0.521,0.521
"Read Capture (Fast 1100mV 85C Model)",0.319,0.272
"Write (Fast 1100mV 85C Model)",0.277,0.277
"Address Command (Fast 1100mV 0C Model)",0.57,0.587
"Bus Turnaround Time (Fast 1100mV 0C Model)",2.257,--
"Core (Fast 1100mV 0C Model)",2.11,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",3.825,0.889
"DQS vs CK (Fast 1100mV 0C Model)",0.325,0.285
"Postamble (Fast 1100mV 0C Model)",0.526,0.526
"Read Capture (Fast 1100mV 0C Model)",0.319,0.272
"Write (Fast 1100mV 0C Model)",0.291,0.291
